,Unnamed: 0,Unnamed: 0.1,remark,price,title,flavour,environment,service,comprehensive
0,0,0,664,81.0,大院火老火锅(春熙路店),9.0,9.1,9.1,27.200000000000003
1,1,1,701,111.0,大侠行江湖火锅(春熙店),8.7,9.3,9.0,27.0
2,2,2,491,67.0,华兴九号辣铺(春熙总店),8.6,9.2,9.0,26.799999999999997
3,3,3,1515,81.0,蜀韵蜀味火锅(春熙店),8.7,9.1,8.9,26.699999999999996
4,4,4,675,87.0,月满大江火锅(总府路店),9.0,9.1,8.9,27.0
5,5,5,1460,95.0,蜀小匠牛排火锅(春熙路总店),8.1,7.5,8.3,23.9
6,6,6,278,96.0,鲜炎·炭火火锅,8.1,8.8,8.1,25.0
7,7,7,1266,78.0,凤望龙门老火锅(盐市口概念店),9.0,9.0,8.6,26.6
8,8,8,1260,75.0,码头故事火锅(春熙路店),8.8,9.1,8.9,26.799999999999997
9,9,9,3437,84.0,凤望龙门老火锅(春熙店),8.6,8.6,8.6,25.799999999999997
10,10,10,1416,69.0,有拈头成都市井火锅(太古里店),7.9,8.0,7.7,23.6
11,11,11,2139,90.0,春熙里老火锅(春熙总店),8.5,9.0,8.6,26.1
12,12,12,1723,80.0,蜀胡记川西坝子(东门大桥店),8.7,8.8,8.9,26.4
13,13,13,1182,78.0,重庆袁老四老火锅(香槟店),8.3,8.5,7.8,24.6
14,14,14,1244,86.0,醉码头火锅(春熙路店),8.8,9.1,8.6,26.5
15,15,15,280,125.0,大妙火锅(太古里店),8.4,9.1,8.4,25.9
16,16,16,3323,88.0,巴蜀大将火锅(春熙店),8.4,8.8,8.5,25.700000000000003
17,17,17,69,58.0,大蜀龙门火锅(红星路二段总店),7.7,8.7,8.3,24.7
18,18,18,868,76.0,塘门英雄·美蛙鱼头火锅(春熙路店),8.7,9.0,8.8,26.5
19,19,19,709,79.0,龙门飞鱼美蛙鱼头火锅(春熙店),8.7,8.9,8.8,26.400000000000002
20,20,20,1632,78.0,野兽花园重庆火锅(太古里店),8.0,8.8,8.1,24.9
21,21,21,2535,83.0,重庆袁老四老火锅(东升店),8.3,8.3,7.8,24.400000000000002
22,22,22,145,68.0,老重庆金三角串串香,7.7,7.0,7.4,22.1
23,23,23,1707,84.0,巴蜀大将火锅(IFS店),8.3,8.9,8.8,26.000000000000004
24,24,24,82,76.0,小春熙老火锅(春熙路店),8.9,9.1,8.7,26.7
25,25,25,112,63.0,蜀财神火锅,9.0,9.1,8.9,27.0
26,26,26,807,81.0,重庆袁老四老火锅(太古里店),8.2,8.6,8.1,24.9
27,27,27,1,,谭二师路边麻辣烫,7.6,7.6,7.6,22.799999999999997
28,28,28,552,82.0,谭鸭血老火锅(王府井直营店),7.7,8.1,7.4,23.200000000000003
29,29,29,528,102.0,梨园火锅(兰桂坊店),8.2,9.1,8.6,25.9
30,30,30,1187,73.0,蛙三泡椒牛蛙(春熙银石店),8.3,8.6,8.1,25.0
31,31,31,1474,76.0,龙幺妹老火锅(香槟广场店),8.5,8.3,8.4,25.200000000000003
32,32,32,530,63.0,竹板凳老火锅(春熙店),8.2,8.9,8.6,25.700000000000003
33,33,33,505,59.0,拿东拿西自助火锅(春熙路店),8.0,8.4,8.2,24.599999999999998
34,34,34,58,75.0,五斗柴火锅鲜生(太古里店),8.5,8.0,8.4,24.9
35,35,35,59,62.0,灶王爷石锅老火锅,8.5,8.7,8.5,25.7
